18: slightly
18: slip
18: smart
18: stage
18: stairs
18: stared
18: study
18: sudden
18: tooraloom
18: unless
18: veil
18: violet
18: weak
18: whispered
18: whore
18: yesterday
529: about
17: British
17: Every
17: Monday
17: Night
17: Nothing
17: Ormond
17: Queens
17: Same
17: Sir
17: United
17: Ward
17: Yet
17: animals
17: appeared
17: bear
17: blow
17: bound
17: bow
17: box
17: calling
17: cannot
17: charge
17: cheap
17: chords
17: concerning
17: consequence
17: desire
17: dogs
17: dream
17: early
17: except
17: fast
17: fly
17: forehead
17: forms
17: fruit
17: glad
17: god
17: harm
17: health
17: huge
17: intelligence
17: interesting
17: jarvey
17: joy
17: leaving
17: legal
17: letting
17: library
17: likes
17: mixed
17: named
17: naughty
17: nearer
17: nodded
17: oil
17: opening
17: path
17: peace
17: poured
17: presence
17: produced
17: properly
17: purple
17: quarter
17: reached
17: repeated
17: sacred
17: saved
17: sharp
17: smoking
17: soup
17: staircase
17: star
17: station
17: stepped
17: sugar
17: taste
17: tide
17: view
17: war
17: wash
17: weather
17: weeks
16: 20
16: AND
16: Denis
16: Even
16: Flower
16: Freeman
16: Half
16: Heart
16: Holy
16: Ive
16: June
16: K
16: Lady
16: Long
16: Make
16: New
16: OConnell
16: Richard
16: Woman
16: Women
16: ages
16: ah
16: awhile
16: besides
16: bits
16: books
16: bowed
16: brass
16: breaking
16: bringing
16: brothers
16: burning
16: chain
16: chest
16: coffee
16: coin
16: coins
16: colours
16: damned
16: design
16: draw
16: drop
16: equal
16: filled
16: fit
16: hearts
16: hero
16: hill
16: hung
16: including
16: ink
16: justice
16: later
16: leather
16: lifting
16: lifts
16: lights
16: mens
16: mentioned
16: merry
16: move
16: nation
16: news
16: nobody
16: nostrils
16: nought
16: odour
16: phenomenon
16: photo
16: pipe
16: priests
16: problem
16: pull
16: rise
16: saluted
16: send
16: served
16: similar
16: spoken
16: spring
16: statue
16: stretched
16: style
16: surprise
16: terrible
16: theyd
16: thumb
16: touching
16: tribe
16: trick
16: welcome
16: whores
16: youll
16: yours
15: 12
15: Bad
15: Costello
15: Don
15: Egypt
15: Five
15: KITTY
15: Know
15: Looks
15: MacDowell
15: Madden
15: Mount
15: NYMPH
15: Perhaps
15: Philip
15: R
15: Rochford
15: Rudolph
15: SECOND
15: Show
15: Telegraph
15: Though
15: Under
15: Vincent
15: While
15: Youll
15: Young
15: access
15: according
15: admired
15: afar
15: bald
15: band
15: becomes
15: bells
15: bends
15: bleeding
15: bloom
15: board
15: bodies
15: broad
15: buttons
15: capital
15: cattle
15: college
15: creature
15: doctor
15: draws
15: drunken
15: evidently
15: evil
15: exactly
15: fallen
15: favourite
15: features
15: fee
15: feed
15: fifty
15: firm
15: flying
15: fun
15: gods
15: grief
15: hearing
15: heel
15: hide
15: hospital
15: hurt
15: iron
15: jacket
15: keeper
15: lent
15: listen
15: listened
15: mark
15: marriage
15: mention
15: millions
15: minute
15: movement
15: nails
15: neighbour
15: notes
15: observed
15: p
15: pain
15: palm
15: picked
15: pint
15: pointed
15: post
15: pretending
15: property
15: purpose
15: reflection
15: remark
15: result
15: rises
15: river
15: sending
15: service
15: sheet
15: shilling
15: ship
15: silently
15: sold
15: sorry
15: sovereign
15: stated
15: steel
15: strength
15: train
15: understood
15: virgin
15: visit
15: walks
15: wise
15: yard
14: 10
14: 9
14: Agendath
14: Another
14: Arms
14: Before
14: Cuckoo
14: Dead
14: Dillon
14: Elijah
14: Europe
14: Feel
14: Florry
14: Four
14: Full
14: Heigho
14: Ho
14: Kildare
14: Madam
14: Man
14: Nolan
14: Over
14: People
14: Professor
14: Sandymount
14: Son
14: South
14: Spain
14: Sure
14: Talbot
14: Venus
14: accent
14: addressed
14: anybody
14: anyway
14: apart
14: bench
14: birds
14: blowing
14: boot
14: bowl
14: brains
14: chamber
14: christian
14: corporation
14: county
14: curbstone
14: curse
14: darkness
14: disease
14: doubt
14: dozen
14: drawers
14: drawing
14: duty
14: edge
14: eight
14: everyone
14: excuse
14: eyed
14: females
14: follows
14: force
14: former
14: hers
14: ho
14: key
14: knelt
14: knowing
14: latter
14: laws
14: leaned
14: learned
14: lift
14: list
14: lit
14: lonely
14: lose
14: lump
14: meaning
14: mutual
14: north
14: nurse
14: otherwise
14: particularly
14: petticoat
14: pleased
14: pot
14: potato
14: prize
14: promised
14: railings
14: rendered
14: replied
14: residence
14: rolling
14: satisfaction
14: sex
14: shake
14: sheets
14: shell
14: shelter
14: sisters
14: society
14: soldiers
14: started
